level1,neighbors
A6731-67-010,"A6731-64-004,A6731-67-012,A6731-60-007,A6731-68-001,A6731-61-009,A6731-66-010,A6731-69-004,A6731-71-001,A6731-63-009,"
A6731-67-011,"A6731-72-001,A6731-60-010,A6731-71-002,"
A6731-67-012,"A6731-67-010,A6731-70-007,A6731-66-010,A6731-69-004,"
A6734-35-009,"A6734-38-005,A6734-35-007,A6734-39-010,A6734-39-011,A6734-42-001,A6734-37-001,"
A6735-33-001,"A6735-33-002,A6735-33-003,A6735-26-007,A6735-33-006,A6735-33-005,"
A6735-33-002,"A6735-33-001,A6735-26-008,A6735-33-006,"
A6735-33-003,"A6735-33-001,A6735-33-004,A6735-26-007,A6735-33-005,"
A6735-33-004,"A6735-32-006,A6735-33-005,A6735-33-008,A6735-33-003,A6735-26-007,A6735-39-001,"
A6735-33-005,"A6735-33-008,A6735-33-001,A6735-33-003,A6735-33-004,A6735-33-006,"
A6735-33-006,"A6735-33-001,A6735-33-002,A6735-33-005,A6735-26-008,A6735-33-007,"
A6735-33-007,"A6735-33-008,A6735-33-009,A6735-26-008,A6735-33-006,"
A6735-33-008,"A6735-33-004,A6735-33-005,A6735-33-007,A6735-33-009,A6735-39-007,A6735-39-002,"
A6735-33-009,"A6735-33-008,A6735-39-007,A6735-26-008,A6735-33-010,A6735-33-007,"
A6731-44-001,"A6731-47-001,A6731-41-010,A6731-44-002,A6731-38-008,"
A6731-48-005,"A6731-49-003,A6731-45-008,A6731-47-006,"
A6731-48-003,"A6731-43-004,A6731-46-006,A6731-49-001,"
A6736-20-001,"A6736-15-006,A6736-15-004,A6736-12-009,"
A6736-20-002,"A6736-20-004,"
A6736-20-005,"A6736-20-004,A6736-20-007,A6736-21-003,"
A6736-20-004,"A6736-20-002,A6736-20-005,"
A6736-20-007,"A6736-20-009,A6736-21-008,A6736-21-006,A6736-20-005,A6736-21-009,"
A6737-15-005,"A6737-15-006,A6737-15-004,A6737-15-003,A6737-18-008,"
A6736-20-009,"A6736-20-008,A6736-20-010,A6736-20-007,A6736-21-011,A6736-21-012,"
A6736-20-008,"A6736-20-009,A6736-20-010,A6736-20-011,"
A6731-22-007,"A6731-31-006,A6731-33-004,A6731-33-007,A6731-36-003,A6731-32-004,A6731-41-003,"
A6734-17-006,"A6734-11-007,A6734-15-002,A6734-11-002,A6734-17-003,A6734-18-010,A6734-14-008,A6734-13-009,A6734-08-009,A6734-18-007,A6734-16-006,A6734-16-008,A6734-08-007,A6734-20-003,A6734-20-002,A6734-13-007,"
A6727-13-009,"A6727-14-006,A6727-13-008,A6727-12-006,"
A6727-13-008,"A6727-14-002,A6727-13-009,A6727-11-006,A6727-12-006,"
A6731-41-010,"A6731-44-002,A6731-44-001,A6731-42-004,A6731-46-002,A6731-47-001,A6731-47-002,A6731-38-008,"
A6727-13-004,"A6727-10-006,A6727-13-005,A6727-10-008,A6727-11-005,"
A6727-13-006,"A6727-14-001,A6727-14-006,"
A6727-13-001,"A6727-10-006,A6727-10-008,A6727-13-002,"
A6727-13-002,"A6727-10-006,A6727-13-001,A6727-10-008,"
A6713-06-011,"A6713-08-001,"
A6727-15-010,"A6727-17-001,A6727-11-009,A6727-16-009,A6727-17-006,"
A6735-30-010,"A6735-37-005,A6735-30-009,A6735-35-006,A6735-30-006,A6735-37-003,"
A6732-16-010,"A6732-16-011,A6732-16-006,A6732-16-004,A6732-23-008,A6732-23-007,A6732-23-005,A6732-26-003,A6732-16-008,"
A6733-20-011,"A6733-20-010,A6733-20-012,A6733-21-008,A6733-20-008,A6733-26-005,"
A6733-20-010,"A6733-20-011,A6733-20-006,A6733-21-008,A6733-20-008,"
